t_ms,wall_ms,pos,target,vel,vel_set,acc,acc_set,pwm,mode,fault,kf_theta,kf_omega,kf_tau,kf_ia,kf_innov,kf_sanity_th,kf_sanity_om,kf_enabled,estop,prox,tracking_err,pos_integral,spd_integral
278.30,1780803375532,0.6,0,0,0,0,0,0,POSITION,NONE,0,0,0,0,0,0,0,0,0,0,0.6,-0.4,0
279.30,1780803375533,0.6,0,0,0,0,0,0,POSITION,NONE,0,0,0,0,0,0,0,0,0,0,0.6,-0.4,0
279.60,1780803375533,0.6,0,0,0,0,0,0,POSITION,NONE,0,0,0,0,0,0,0,0,0,0,0.6,-0.4,0
279.90,1780803375533,0.6,0,0,0,0,0,0,POSITION,NONE,0,0,0,0,0,0,0,0,0,0,0.6,-0.4,0
285.80,1780803375539,0.6,0,0,0,0,0,0,POSITION,NONE,0,0,0,0,0,0,0,0,0,0,0.6,-0.4,0
286.30,1780803375540,0.6,0,0,0,0,0,0,POSITION,NONE,0,0,0,0,0,0,0,0,0,0,0.6,-0.4,0
286.80,1780803375540,0.6,0,0,0,0,0,0,POSITION,NONE,0,0,0,0,0,0,0,0,0,0,0.6,-0.4,0
287.60,1780803375541,0.6,0,0,0,0,0,0,POSITION,NONE,0,0,0,0,0,0,0,0,0,0,0.6,-0.4,0
287.80,1780803375541,0.6,0,0,0,0,0,0,POSITION,NONE,0,0,0,0,0,0,0,0,0,0,0.6,-0.4,0
288.00,1780803375541,0.6,0,0,0,0,0,0,POSITION,NONE,0,0,0,0,0,0,0,0,0,0,0.6,-0.4,0
288.30,1780803375542,0.6,0,0,0,0,0,0,POSITION,NONE,0,0,0,0,0,0,0,0,0,0,0.6,-0.4,0
295.00,1780803375548,0.6,0,0,0,0,0,0,POSITION,NONE,0,0,0,0,0,0,0,0,0,0,0.6,-0.4,0
295.30,1780803375549,0.6,0,0,0,0,0,0,POSITION,NONE,0,0,0,0,0,0,0,0,0,0,0.6,-0.4,0
295.90,1780803375549,0.6,0,0,0,0,0,0,POSITION,NONE,0,0,0,0,0,0,0,0,0,0,0.6,-0.4,0
296.20,1780803375549,0.6,0,0,0,0,0,0,POSITION,NONE,0,0,0,0,0,0,0,0,0,0,0.6,-0.4,0
296.40,1780803375550,0.6,0,0,0,0,0,0,POSITION,NONE,0,0,0,0,0,0,0,0,0,0,0.6,-0.4,0
296.70,1780803375550,0.6,0,0,0,0,0,0,POSITION,NONE,0,0,0,0,0,0,0,0,0,0,0.6,-0.4,0
297.10,1780803375550,0.6,0,0,0,0,0,0,POSITION,NONE,0,0,0,0,0,0,0,0,0,0,0.6,-0.4,0
297.30,1780803375551,0.6,0,0,0,0,0,0,POSITION,NONE,0,0,0,0,0,0,0,0,0,0,0.6,-0.4,0
302.10,1780803375555,0.6,0,0,0,0,0,0,POSITION,NONE,0,0,0,0,0,0,0,0,0,0,0.6,-0.4,0
302.60,1780803375556,0.6,0,0,0,0,0,0,POSITION,NONE,0,0,0,0,0,0,0,0,0,0,0.6,-0.4,0
303.10,1780803375556,0.6,0,0,0,0,0,0,POSITION,NONE,0,0,0,0,0,0,0,0,0,0,0.6,-0.4,0
303.30,1780803375557,0.6,0,0,0,0,0,0,POSITION,NONE,0,0,0,0,0,0,0,0,0,0,0.6,-0.4,0
303.90,1780803375557,0.6,0,0,0,0,0,0,POSITION,NONE,0,0,0,0,0,0,0,0,0,0,0.6,-0.4,0
304.10,1780803375557,0.6,0,0,0,0,0,0,POSITION,NONE,0,0,0,0,0,0,0,0,0,0,0.6,-0.4,0
304.40,1780803375558,0.6,0,0,0,0,0,0,POSITION,NONE,0,0,0,0,0,0,0,0,0,0,0.6,-0.4,0
308.80,1780803375562,0.6,0,0,0,0,0,0,POSITION,NONE,0,0,0,0,0,0,0,0,0,0,0.6,-0.4,0
309.20,1780803375562,0.6,0,0,0,0,0,0,POSITION,NONE,0,0,0,0,0,0,0,0,0,0,0.6,-0.4,0
309.50,1780803375563,0.6,0,0,0,0,0,0,POSITION,NONE,0,0,0,0,0,0,0,0,0,0,0.6,-0.4,0
310.30,1780803375564,0.6,0,0,0,0,0,0,POSITION,NONE,0,0,0,0,0,0,0,0,0,0,0.6,-0.4,0
310.60,1780803375564,0.6,0,0,0,0,0,0,POSITION,NONE,0,0,0,0,0,0,0,0,0,0,0.6,-0.4,0
310.90,1780803375564,0.6,0,0,0,0,0,0,POSITION,NONE,0,0,0,0,0,0,0,0,0,0,0.6,-0.4,0
311.10,1780803375564,0.6,0,0,0,0,0,0,POSITION,NONE,0,0,0,0,0,0,0,0,0,0,0.6,-0.4,0
311.60,1780803375565,0.6,0,0,0,0,0,0,POSITION,NONE,0,0,0,0,0,0,0,0,0,0,0.6,-0.4,0
312.00,1780803375565,0.6,0,0,0,0,0,0,POSITION,NONE,0,0,0,0,0,0,0,0,0,0,0.6,-0.4,0
316.60,1780803375570,0.6,0,0,0,0,0,0,POSITION,NONE,0,0,0,0,0,0,0,0,0,0,0.6,-0.4,0
317.00,1780803375570,0.6,0,0,0,0,0,0,POSITION,NONE,0,0,0,0,0,0,0,0,0,0,0.6,-0.4,0
317.30,1780803375571,0.6,0,0,0,0,0,0,POSITION,NONE,0,0,0,0,0,0,0,0,0,0,0.6,-0.4,0
317.70,1780803375571,0.6,0,0,0,0,0,0,POSITION,NONE,0,0,0,0,0,0,0,0,0,0,0.6,-0.4,0
319.00,1780803375572,0.6,0,0,0,0,0,0,POSITION,NONE,0,0,0,0,0,0,0,0,0,0,0.6,-0.4,0
319.50,1780803375573,0.6,0,0,0,0,0,0,POSITION,NONE,0,0,0,0,0,0,0,0,0,0,0.6,-0.4,0
324.10,1780803375577,0.6,0,0,0,0,0,0,POSITION,NONE,0,0,0,0,0,0,0,0,0,0,0.6,-0.4,0
324.40,1780803375578,0.6,0,0,0,0,0,0,POSITION,NONE,0,0,0,0,0,0,0,0,0,0,0.6,-0.4,0
324.60,1780803375578,0.6,0,0,0,0,0,0,POSITION,NONE,0,0,0,0,0,0,0,0,0,0,0.6,-0.4,0
324.80,1780803375578,0.6,0,0,0,0,0,0,POSITION,NONE,0,0,0,0,0,0,0,0,0,0,0.6,-0.4,0
325.20,1780803375578,0.6,0,0,0,0,0,0,POSITION,NONE,0,0,0,0,0,0,0,0,0,0,0.6,-0.4,0
325.50,1780803375579,0.6,0,0,0,0,0,0,POSITION,NONE,0,0,0,0,0,0,0,0,0,0,0.6,-0.4,0
325.90,1780803375579,0.6,0,0,0,0,0,0,POSITION,NONE,0,0,0,0,0,0,0,0,0,0,0.6,-0.4,0
326.20,1780803375579,0.6,0,0,0,0,0,0,POSITION,NONE,0,0,0,0,0,0,0,0,0,0,0.6,-0.4,0
326.50,1780803375580,0.6,0,0,0,0,0,0,POSITION,NONE,0,0,0,0,0,0,0,0,0,0,0.6,-0.4,0
327.10,1780803375580,0.6,0,0,0,0,0,0,POSITION,NONE,0,0,0,0,0,0,0,0,0,0,0.6,-0.4,0
332.10,1780803375585,0.6,0,0,0,0,0,0,POSITION,NONE,0,0,0,0,0,0,0,0,0,0,0.6,-0.4,0
332.30,1780803375586,0.6,0,0,0,0,0,0,POSITION,NONE,0,0,0,0,0,0,0,0,0,0,0.6,-0.4,0
332.50,1780803375586,0.6,0,0,0,0,0,0,POSITION,NONE,0,0,0,0,0,0,0,0,0,0,0.6,-0.4,0
332.90,1780803375586,0.6,0,0,0,0,0,0,POSITION,NONE,0,0,0,0,0,0,0,0,0,0,0.6,-0.4,0
